"ID", "SAFENET ID", "Iteration", "Event Start Date", "Event Stop Date", "Incident Name", "Incident Number", "Event State", "Event Jurisdiction", "Event Local Unit", "Event Position Title", "Event Task", "Event Management Level", "Event Resources", "Event Incident Type", "Event Incident Activity", "Event Incident Stage", "Contributing Factors", "Human Factors", "Other Factors", "Narrative", "Immediate Action Taken", "SAFENET Create Date"
"24172","54CLR8SAFE","2","11/10/2001 10:00"," ","REGIONAL FIRE SUPPORT","","UT","Other","","Fire Safety Officer","Safety","1","","All Risk;","Support;","","","","This may indicate a bigger problem with flares used in wild fire management.","road conditions in this incident I received a report from the Police Dept of the following event: 'One of our officers activated a flare last night (11/08) and it blew up in his hand. The flare company was notified and they indicated that this is not an isolated problem. We received an order of 15 cases of flares that appear to be responsible for the problem. see above.","I have contacted the coordination centers in the southeast geographic area and asked them to contact our employees and cooperators of the potential problem. I suggest that NICC notified other cooperators on a national basis.","11/10/2001 00:00"
"24171","54BS8MSAFE","2","11/02/2001 00:00"," ","POLHEMUS PRESCRIBED FIRE","CO-PSF-0457","CO","USFS","Pike National Forest","Crew Boss And Crew Boss (T)","Reduce The Quantity Of Smoke The Overall Burn Is Generating","3","1- 22 Person Crew, 1- 13 Person Crew, 3- T6 Engines, 2- T3 Helicopters, Atv's And Misc. Overhead And Support Personnel.","Prescribed/Fuels Treatment;","","Extended Attack;Mop Up;","","","The feeling among the single resource bosses was that the overheads were rationalizing violating some of the 10 and 18 because of the short burn period at this time of year. What was most troublesome is that the strategic objective of smoke reduction was","-The fuels were extremely dry with 1000 hour fuel moistures of 6%.

-The 30-mile drive along the road was sometimes hazardous with fast moving traffic from the opposite direction. On 11/02/01, the Crew was demobed from the fire and reassigned to a prescribed fire on a National Forest. Our objective, as stated at morning briefing on 11/03/01 was to reduce the output of smoke that the burn was producing. The team was vague on how to accomplish this task. Local resources that had worked this fire on previous shifts told us that numerous fire orders and watchout situations had been violated in previous shifts. The team was well aware of these violations and still decided to place us into the following situations:

*Broken Standard Fire Order

-Determine safety zones and escape routes: We were able to identify only one safety zone within the burn unit and this was on our last shift. Our escape routes consisted of an extended hike (30 to 60 min.) to an established trail and back to where our rigs were parked.

*Broken Watchout Situations are as follows:

3. Safety zones and escapes routes not identified: See above Broken Fire Order.

4. Unfamiliar with weather and local factors influencing fire behavior: Although a few of us were quite familiar with this particular fuel model, an FBAN was never a part of the management organization. This in addition to the unreliable spot weather forecasts made for some confusion when fire behavior did increase.

8. Constructing fireline without safe anchor point: We always tried to anchor to existing black but don't think it really mattered with all of the surrounding unburned fuel.

9. Building fireline downhill with fire below: We knew for sure that there were a lot of spot fires below us as we worked our way from the top down.

11. Unburned fuel between you and the fire: The biggest concern was all of the little spot fires we were passing up to go after the biggest smokes or the ones that we weren't seeing as we were going further downhill away from our rigs. There was no specific event that rose from this incident. It was the blatant disregard for fundamental guidelines and rules in wildland incident management for nothing more than political and economic reasons that lead to such an unsafe working environment. It seems very hypocritical that the same safety rules pushed without room for discussion at the beginning of every season by supervisory and overhead personnel are thrown to the side when it is either inconvenient or mandated by there supervisors.","Even though we should have turned down the assignment outright, we believed that we could accomplish the task safely and effectively. On our own, we posted multiple lookouts throughout the operation and set trigger points. Good communication was established and we assessed the comfort level of our crewmembers though we could, and ultimately did accomplish the assigned task, it was still the wrong thing to do. We accept as much responsibility as we place on the team and their supervisors. It set a bad precedent for all and if asked to do it again, we would not hesitate to say no.  All fire personnel should stick to their guns when it comes to safety. Crew bosses must turn down such assignments in the future. The priority should shift away from political agendas and back to the men and women on the line.","11/09/2001 00:00"
"24173","54JR73SAFE","2","11/01/2001 11:00"," ","NEW YORK WILDFIRE AND INCIDENT MANAGEMENT ACADEMY","","NY","Unknown","","","Training Burn","4","Instructors & Safety Officer","Training;","","","","","","As a student (and SOF3 Trainee) in a course at the Academy, my class was present to observe fire effects for the training burn that was being conducted by the classes. Upon noticing that the two lead instructors of 2 classes were wearing jeans instead of Nomex pants, I alerted the Safety Officer. (Having worked in Colorado at the CO Wildfire Academy with the same two instructors before as a SOT3 trainee, I have seen their excellent teaching capabilities in the past and was, therefore, surprised by their lack of proper PPE.)

The Safety Officer then told the 2 instructors, and the lead instructor came over to me and demanded why I had questioned his PPE. He said that he had left home in a rush and had forgotten his Nomex pants. (I asked myself, why did he remember the rest of his gear and why had the other instructor forgotten her/his Nomex pants as well?) He then said that he was just planning to observe and not get near the fireline. It seems that it would have been difficult for the two instructors not to be involved with their students. I asked him what if there were to be an escape, wouldn't he feel obligated to assist? He said that others could handle it. (I asked myself why he had the rest of his gear on if he had no intention of participating?)

I then noticed that the Safety Officer to whom I had originally spoken only had Nomex pants and boots on, and no other PPE. Please see 'Safety/Health Issue' section.","Overhead should stress to all personnel that proper PPE must be worn by everyone at all times on the fireline, even/especially in a training situation.","11/16/2001 00:00"
"24170","53V3HPSAFE","2","10/24/2001 00:00"," ","ASH MOUNTAIN","","CA","NPS","Sequoia and Kings Canyon","Fft2","","5","Engine Crew","All Risk;","Transport to/from;","Initial Attack;","","","","Most of the items above do not correspond with the issue I have, but are required to fill in. There is an issue with our engine crew that does not seem to be getting dealt with locally, so I thought I'd give this a try. In the early morning of 10/24/01, two people on the crew were arrested for drunk driving and possession of cocaine and marijuana. It was off the clock, but they could have gotten a call or come in to work still intoxicated (we are burning right now, so there was a chance they could have been called in on that day to burn). As a fellow firefighter, this concerns me. How do we know they aren't doing this on the job? And they give our Parks a bad name. It is their first season on and they are to be layed off on or around 11/02/01, so it sounds like the solution going around is: They are going to be gone next week anyway... My problem with this is, they will not get drug tested, there is a high possibility of our burn continuing (in which they will be on), and what happens if they get rehire rights? If they get away with this, they'll think they're invincible. The issue is clear--it is unsafe to have firefighters out there on drugs. I have seen several firefighters over the years get busted for using drugs and get away with it, most of them got promoted. This is dangerous and something needs to be done about it. How would you feel if your son/daughter was killed from a negligent drug abuser driving a fire engine? You are supposed to feel safe when firefighters are around and trust that they can help you, not run you over! There are also safety issues with their personal health. If they are on drugs, they can't be in top shape and are at a higher risk for heart attacks. Engines in the Parks are the water support on our burns, as well as support on Search and Rescues, how can they do these jobs if they are not at 100%?","I know it might not be possible, but random drug tests throughout the summer might scare people. They are normally only given at the beginning of the summer, so people feel safe--how is that random?  Immediate drug testing for the entire crew (maybe all of Fire Management) without warning. I also suggest that they be fired (if this is legally possible, which it should be because they work for the government and drugs are illegal on or off the clock) and used as an example that drug use will not be tolerated in the fire community. A more accessible substance abuse program would also be in order.","10/25/2001 00:00"
"24285","52U35NSAFE","2","09/20/2001 00:00"," ","TOMMY CREEK FIRE","WA-WEF-709","WA","USFS","","Engine Boss","Mop-Up","2","Engine Crews","Wildland;","","Mop Up;","Environmental;","","","Footing difficult on all divisions of fire, Surface was frequently ash with underlying loose rock. Snags continuing to fall during mop-up phase of fire even after division had been 'snagged' by fallers on multiple occassions. During mop-up phase on Div. multiple snags falling on division during day operations. Established mop standard was 150 feet, placing crews into areas where snags above work area could fall or slide into crews. Due to heavy canopy it was difficult or impossible to place lookouts to watch for falling rocks snags.","Ask teams and Districts to reevaluate mop-up standards when the hazard potential from snags is high. Move mop-up standards down to 50' or less, or allow fuels to consume in these situations. Have teams consider fuel removal on green side of line as an alternative to 'deeper' mop-up standards. In this instance the line was a 15' paved road with unmanaged brush on the 'green' side of the road, fire was uphill of the road.  Reevaluate necessity of greater mop-up standards when public safety/structures/resources are not at risk or using alternatives to mop-up such as fuel management.","09/22/2001 00:00"
"24169","53SQRBSAFE","2","09/17/2001 00:00"," ","ST JOE ABC MISC","P12105","ID","USFS","0104 and0110","Hotshot Supt","Ia To Rehab","3","Crew","Wildland;","Transport to/from;","Initial Attack;Mop Up;","Equipment;Other;","","This has been brought to the attention of Management many times and no action has been taken. Dispatch centers still acquire transportation for crews that will not allow the crew to follow the Health and Safety code.","Old School busses with out a means to secure gear or a partition to separate equipment from passengers as required in the Health and Safety Code on page 10-33. ON page 10-32 it states Passengers and driver shall have unobstructed access to all exits. The means of egress shall not be restricted, blocked, or modified in any way (49 CFR 393.61) yet, we are expected to load all of our gear into the passenger compartment and use the bus or a van. Transportation being given to crew(s) on fire assignments is not safe and does not allow the crew(s) to follow the Health and Safety code. On the assignment to Idaho and to a Montana Fire we were given transportation that would not allow the crew to follow the Health and Safety code. Busses with no means to secure gear and no partition to separate equipment and people.

We also used 15 Passenger vans that we first had to remove the rear seat and then stack gear in the passenger compartment with no way to secure it. I talked to and saw crews that carried saws with fuel and tools inside the bus or in vans","Change contracts on transportation equipment so that it requires a partition that does not restrict any exits but does separate Passengers from Equipment and require an outside compartment for fuel.

Require an area in all vans to carry equipment.

Have crew travel with there own transportation!  Change contracts

Have crew travel with their own transportation.

Hold the people responsible for ordering transportation equipment accountable for acquiring transportation that will allow the crew to follow the Health and Safety code and meet our fire suppression needs.","10/23/2001 00:00"
"24168","5356LASAFE","2","09/11/2001 12:00"," ","TREASURE FIRE","CA-TNF-15753","CA","USFS","Tahoe NF","Hotshot Superintendent","Line Construction","2","T-1 Crew","Wildland;","","Extended Attack;","Equipment;","","Hardhat that was put into service on 5/97 was shattered on the fireline.","The only environmental factor that contributed to this incident was the large number of snags on the fireline. Rotation/replacement timeframes for Bullard wildfire hard hats - NFPA 1977, 1993 edition. 5 years may be too long for fireline use. On 9/11/01 at 1200 hours, my Saw Boss was struck on the head by a 3' diameter, 15' long snag during fireline construction operations. He was down on one knee with his pack off, pulling out a roll of 'Danger' flagging, to mark another hazard tree. He was knocked to the ground, and his hardhat was shattered. He received only minor injuries, and one light duty day.

The safety issue is that most fire agencies currently do not have a required hardhat rotation policy.","All fireline supervisors should obtain and read the Bullard Hardhat Inspection Guide. All resources should inspect their hardhats per the Bullard guide every spring before fire season. After reading the Bullard guide, the only indicator of wear was a slight fading in the hardhat color. Wildland fire agencies should create a national policy for hardhat replacement procedures and timeframes.  Same as above. We will change our crew hardhat rotation policy from 5 years to 3 years until there is an agency policy to follow.","10/01/2001 00:00"
"24166","52HV5VSAFE","2","09/07/2001 00:00"," ","OSTLER POND","G 421","ID","State","","Engine Boss (Firefighter)","Line Supression/ Structure Protection","4","Crew, Equipment","","","Extended Attack;","Fire Behavior;Communications;Other;","","Erratic fire behavior

No communications with Air Attack

Soft, sandy, narrow road with no turn around points

Smoky conditions","Weather: hot, dry, windy, erratic winds

Fire behavior: erratic, frequent spotting, running

Fuels: grass, sagebrush, choke cherry brush, timber

Terrain: mostly flat, rocky, sandy, several canals/rivers, structures

Road condition: mostly paved, windy, deep dirt and sand (where incident occurred) Special attention to soft, sandy and narrow roadways. Also get knowledge of escape routes and turn around points. I was extended initial attack. When I showed up, I tied in with engine (x) and started to suppress the southwest line of the fire, near the point of origin. Immediately I was contacted by the I.C. and was asked to tie in with the rurals. After driving around, searching for about 5 minutes, I contacted the I.C. to confirm their location. He informed me that they were protecting several different structures and were moving around a lot, and to go back and tie in with engine (x) again. Engine (x) informed me that the fire was pushing against a small canal on the south side and that a haystack and some structures were being threatened. Engine (x) asked me to find an entrance, on the other side of the canal, and to catch any spot fires that jump the canal. The wind direction, at this time, was erratic but mainly from the northwest. I found an access and immediately noticed a spot fire and proceeded to suppress it. It was right next to the canal, where there was a narrow, sandy road, to gain access at. I shifted into 4 wheel drive, because I figured that the road would be soft, and also, that is what we are trained to do when we are off the main road. The spot extinguished quickly. It was also next to a tree and some shrubs, and I could not see around them for other spot fires. I radioed to Engine (x), who was just across the canal, to the north, and asked him to be a lookout for me. Engine (x) worked his line ahead about 40 yards as I stayed to mop up the spot. Engine (x) radioed to me and informed me of a spot fire ahead of me about 100 yards near the road that followed the canal. I confirmed and proceeded to bump up the road, with my partner walking and checking for spots as we came upon the spot. We proceeded to attack the fire, but it became too intense, so I yelled to my partner to back me up to get out of the intensity of the fire. My escape route was, to either drive down the road to the black, or back up by the hay stack where and get on the road. At this time, the smoke had eliminated my escape route forward, so I fell back to backing up. The fire became even more intense because the fuels were so thick and volatile, approximately 10 foot high choke cherry brush. I yelled to my partner to get in, and I continued to back up. I made it out of immediate danger. Just then, the sandy road gave away under my right rear dual and I got stuck in the sand and brush on the south side of the road, opposite of the canal. My truck was nearly in the middle of the choke cherry brush that the fire was spreading into. I then realized that we were in danger. I radioed to Engine (x) for assistance, engaged the parking brake, left the engine idling, and we both exited the driver's door. We grabbed our 10 ft, 1 1/2' hose and attempted to suppress the blaze, which, by this time, was about 15 feet from the truck. Engine (x) parked next to me, just across the canal, threw this hard line across the canal to my partner, and hooked up his 100 ft. 1 1/2 hose and began to attempt suppression from across the canal. I yelled across to Engine (x) to get air attack over here, because I knew we had at least one helicopter and several tanker planes on this fire. We had three nozzles attempting suppression with little effect on the flames. Moments later, the driver from Engine (x) yelled to me, from across the canal, that there was another spot fire back behind, where I had just come from, about 50 yards. I looked at the other spot and noticed that it was very intense already and racing towards us. I told my partner to keep spraying with Engine (x)'s hose and shut mine down and jumped into the truck. I shifted into 4 low, released the parking break and attempted to drive in front of the fire into the fresh black area. I didn't get 5 feet until the truck nearly rolled over. The brush and smoke impaired my vision from seeing how steep and rocky the embankment really was. I engaged the parking break, left in gear, and killed the engine. I then climbed out of the window, jumped to the road and grabbed the drip torch to attempt the engine protection drill. As I was assembling the torch, I yelled across to Engine (x), once more, to get air attack over here. They yelled back to inform me that they were not answering. He continued to suppress from across the canal, my partner was still spraying and I hurriedly attempted to assemble the drip torch. I looked towards the spot fire and noticed that it was getting extremely close and intense. The drip torch was taking too long, so I set it aside, grabbed and lit a fusee and attempted to burn around my engine. Nothing around the truck would ignite, so I threw the fusee into the brush towards the spot fire. The two spot fires had now married together and were getting very intense, and were right up against the truck. I yelled to my partner to get across the canal to Engine (x). I waited to see if he had made it okay, and I jumped in and proceeded to the other side and met up with Engine (x). Just as I crossed the canal, I looked back to my truck and saw flames protruding through the cab and that the tires were already igniting. I, along with the crew of Engine (x), proceeded to unhook his 1 1/2' hose and reeled up his hardline. After the last bit of hose was reeled up, I did a quit check to see if everyone was accounted for, and we drove down the road until it came to a dead end, about 200 yards. There we had wet down the area around the truck and waited out the smoky conditions there. We contacted the I.C. confirming that everyone was okay and accounted for. From the time I got stuck until we were safely waiting it out with Engine (x), was about 3-4 minutes. There were no injuries of any kind during this ordeal.","I could have possibly backed up to where the spot fire was, and that could have eliminated backing up in the tense situation.

It would have helped to have water drops, or even retardant drops, from air attack  Make sure that your escape routes are acceptable and not as difficult to maneuver through.","09/01/2001 00:00"
"24161","52BLY4SAFE","2","09/04/2001 13:35"," ","POT CREEK RX BURN","RE03","CO","BLM","Uinta Basin Fire Center","Fire Lookout","Wx/Behavior Updates","3","Crews","Prescribed/Fuels Treatment;","Support;","Initial Attack;Extended Attack;","Fire Behavior;Communications;","","","Forecast for Zone 201: LAL 3, Haines 5, max temps 81-89, min rh 13-21, winds upslope, up valley 5-9.

Actual weather and fire behavior: at 1300, scattered fair weather and altocums, some TCUS and ice tops about 30 miles SE and about 6 miles N of burn. Wind SE 5.

Top smoke observed from lighting operations at 1335, no radio announcement of lighting.

At 1400, lookout announced winds 'picking up' SW 8-12, on the UBFC main frequency.

At 1504, lookouts spotted several large, rapidly growing smokes about 40 miles N of burn, were informed Wyoming had picked up 5-7 new large fires.

At 1525, dry lightning and microburst winds 20 miles E of burn.

At 1540, vastly increased smoke volume on burn, rushing and swirling, cauliform top forms.

1555 I got a phone call informing me that the burn had jumped the E line with a wind shift, and that the crews wanted reports on what the head was doing. I still could not see the base.

1620 I see first open flame as head moves N, with 200' flame lengths in the ponderosa on top of the ridge.

1628 smoke vol decreases as head reaches canyon rim and runs into sparse fuels in previous burn unit.

1710 Dry lightning and microburst winds 15 miles SE of burn.

1715 Major region-wide wind shift, to 15-20 SE (instead of SW). This is what prompted me to find (with some difficulty) the tactical frequency to alert the burn boss. He told me he'd had 30 mph SW winds all afternoon. Failure to establish communications with nearby lookouts.

Failure to obtain updated weather, including nearby thunderstorms, microburst winds, sustained significant wind increases and shifts.

Failure to obtain current fire behavior at head of escape run.

Chaotic firing operations during flanking of escape run.

Failure to retain control. This burn was announced at 10 a.m. The legal description was vague, and varied depending on which agency I talked to.

I saw first top smoke from general area of burn at 1335 (I did not have a direct view of the proposed burn, and only saw fire on the ground at the end of the escape run.) Smoke volume increased dramatically at 1540, and I was advised of the escape by phone at 1555. Still not a peep out of the radio. (Spooky) Significant wind shift at 1715 prompted me to find the tactical frequency. It was not easy to do this; did not have the correct frequency. Once I had radio contact, the burn boss told me he'd had winds 30 SW all afternoon! Also I now heard the above-mentioned chaotic radio calls describing independent lighting operations in an attempt to flank the fire.","Consultation with all involved agencies before the burn, go/no-go.

Communications setup and maintained with lookouts to obtain current conditions.

Professional, competent line operations to prevent and manage escape.","09/06/2001 00:00"
"24163","52BUL2SAFE","2","09/03/2001 08:30"," ","HYAMPOH","CA-SHF-008086","CA","USFS","Shasta Trinity","Crew Boss","Line/Initial Attack","2","20 Man Handcrews","Wildland;","","Initial Attack;Extended Attack;","Fire Behavior;Communications;Equipment;Environmental;","","Fire Behavior - Very Active

Pre-burned fuels

Chimney effect of canyon from both sides

No escape route

No safety zone

Lack of good communications

Attitude of DIVS

Lack of communication with DIVS

Lack of supplies to make a complete hose lay","Hot, RH <20, Fire Behavior, very active, preburnt fuel in the canopy, steep terrain, slick footing on hard dry dirt LCES guidelines not followed. Welfare of handcrews. Written by a Crew Boss:

My crew and I arrived at the Hyampom fire in Hayfork CA on 9/1/01. First shift was 9/2/01. We were assigned to division (1) under DIVS (1).

The first shift consisted of waiting on a ridge top for an opportunity to advance. That opportunity never came. We were over run by a 200-foot wall of fire and retreated to the safety zone. The rest of the day was spent mopping up the slop over the ridge.

Day two, 9/3/01: We were assigned to the same division, same supervisor. He asked me to wait and instruct two of the type 2 crews #2 and #4 who had not been into this division before.

When we arrived at the drop point #6, he instructed the three crews to take care of two slopovers on the line. My crew and I started a hose lay into the bottom.

I looked over the map and terrain and didn't see any place for a safety zone. I asked the DIVS (1) where the safety zone was, and he said there were no safety zones, just deployment zones, which was the cat line on a ridge with preheated fuels and a preburned chimney on BOTH sides of the dozer line.

We started into the second slopover and the other crews wouldn't follow. An engine crew helped my crew drop the hose lay into the slopover. We did not have hardware for laterals so the hose lay was useless. I discussed the situation with the engine boss and we decided to back out because the LCES was non-existent. The engine boss called the DIVS (1) and told him we were backing out. He wanted us to stay anyway. We didn't. He insisted the danger was not as great as it seemed. Not true. They were making tanker runs right over our heads 10'-15' and the helicopters worked constantly for the whole shift. (If the danger wasn't all that great why the million-dollar air show over us?)

Later I saw the DIVS (1) and explained why I wouldn't take my crew into the canyon. He said fine, you stay up here where you feel safe and he would take care of it by himself.

After shift, two of my squad bosses (both Crew Boss qualified), and myself went to safety and made our complaints, about how LCES was not intact at all, throughout the day on our Division.

The next day our DIVS (1) called my Squad bosses and myself together to 'clear up' the rumors that we reported him. I told him that we indeed had. He was mad and said he should kick us off his division and send us home. The next day all of the crews that wouldn't go into that hole had a

'Requested: demobe. (9/5) There were 2 other Type 2 crews involved.

NO LCES was followed:

L: There were no lookouts posted. We couldn't have heard them if there had been.

C: There was little to no communication because of the noise level of the retardant drops and helicopters. My crew was hit three times with retardant, with NO warning because we could not hear due to the noise level. Additionally we tried to radio our DIVS with no luck. He never answered.

E: There was no escape route. A safety zone should be reached within minutes, and you should be able to stand within that zone, without deploying a fire shelter. There is no 'D' in LCES.","LCES must strictly be followed.

DIVS and/or overhead must be more open to suggestion from crew bosses etc. When four crew bosses refuse to enter an area, there must be a reason and they should listen to the reasons they refuse.  Since this person does not work for our company, there is nothing that WE can do. What we do to insure the safety of our crews is educate and stress LCES above all else. Anytime we question the instructions of an agency individual we take the risk of demobe and/or some sort of retaliation, even in a small manner. This time we were demobed along with the other crews. That action caused our company and our employees money. We expressed our gratitude to our crew boss for keeping our crew safe, regardless of the outcome. He followed our instructions.","09/06/2001 00:00"
