,narr_cause,narr_accf,document IDs for row,number of documents for row
0,"abort, abort takeoff, decision abort, decision abort takeoff, delayed decision, delayed decision abort, pilots delayed decision, pilots delayed, takeoff, delayed","airplane, pilot reported, pilot, reported, runway, landing, mechanical, malfunctions, substantial, substantial damage","['20120515X10453', '20120531X13740', '20120907X03444',...]",10
1,"abort, abort takeoff, decision abort, decision abort takeoff, delayed decision, delayed decision abort, pilots delayed decision, pilots delayed, takeoff, delayed","airplane, pilot, runway, landing, engine, left, reported, flight, right, pilot reported","['20110609X25931', '20110706X70339', '20110805X95510',...]",41
2,"abort, abort takeoff, decision abort, decision abort takeoff, delayed decision, delayed decision abort, pilots delayed decision, pilots delayed, takeoff, delayed","carburetor, power, engine, carburetor heat, heat, icing, carburetor icing, engine power, ice, loss","['20120430X00440', '20120514X11605']",2
3,"abort, abort takeoff, decision abort, decision abort takeoff, delayed decision, delayed decision abort, pilots delayed decision, pilots delayed, takeoff, delayed","fuel, tank, engine, fuel tank, power, tanks, pilot, gallons, airplane, flight","['20111221X54903', '20200920X32151']",2
4,"abort, abort takeoff, decision abort, decision abort takeoff, delayed decision, delayed decision abort, pilots delayed decision, pilots delayed, takeoff, delayed","snow, airplane, snowcovered, pilot, reported, runway, pilot reported, landing, left, substantial damage",['20120316X94235'],1
5,"abort, abort takeoff, decision abort, decision abort takeoff, delayed decision, delayed decision abort, pilots delayed decision, pilots delayed, takeoff, delayed","student, student pilot, airplane, instructor, flight instructor, flight, student pilot reported, runway, reported, pilot","['20120502X85511', '20131028X32032']",2
6,"abort, abort takeoff, decision abort, decision abort takeoff, delayed decision, delayed decision abort, pilots delayed decision, pilots delayed, takeoff, delayed","takeoff, weight, runway, gross, airplane, maximum, gross weight, end, pilot, flaps","['20110511X35743', '20111002X30120', '20120618X11856',...]",7
7,"abort, abort takeoff, decision abort, decision abort takeoff, delayed decision, delayed decision abort, pilots delayed decision, pilots delayed, takeoff, delayed","taxiway, taxi, airplane, taxiing, wing, pilot, reported, left, truck, right",['20120716X15145'],1
8,"abort, abort takeoff, decision abort, decision abort takeoff, delayed decision, delayed decision abort, pilots delayed decision, pilots delayed, takeoff, delayed","throttle, cable, throttle control, throttle cable, arm, engine, linkage, control, nut, cotter",['20130709X54818'],1
9,"abort, abort takeoff, decision abort, decision abort takeoff, delayed decision, delayed decision abort, pilots delayed decision, pilots delayed, takeoff, delayed","water, lake, airplane, pilot, float, reported, landing, boat, amphibious, floatequipped","['20110921X93314', '20140807X52333', '20190922X10702',...]",4
10,"abort, abort takeoff, decision abort, decision abort takeoff, delayed decision, delayed decision abort, pilots delayed decision, pilots delayed, takeoff, delayed","weight, gross, airplane, gross weight, takeoff, weight balance, balance, maximum, torque, cg",['20110831X34358'],1
11,"abort, abort takeoff, decision abort, decision abort takeoff, delayed decision, delayed decision abort, pilots delayed decision, pilots delayed, takeoff, delayed","wind, knots, airplane, runway, reported, pilot, left, accident, pilot reported, landing","['20111014X60059', '20111121X63408', '20120615X63501',...]",9
12,"accident, stall contributing accident, stall contributing, accident pilots, stall, experience, contributing accident, aerodynamic stall contributing, contributing accident pilots, airspeed","aileron, control, aileron control, airplane, flight, left aileron, cable, flight control, left, hinge",['20110713X30105'],1
13,"accident, stall contributing accident, stall contributing, accident pilots, stall, experience, contributing accident, aerodynamic stall contributing, contributing accident pilots, airspeed","airplane, accident, witness, flight, pilot, airplanes, stall, pilots, turn, engine","['20110202X85818', '20110626X95323', '20110802X53813',...]",17
14,"accident, stall contributing accident, stall contributing, accident pilots, stall, experience, contributing accident, aerodynamic stall contributing, contributing accident pilots, airspeed","airplane, pilot reported, pilot, reported, runway, landing, mechanical, malfunctions, substantial, substantial damage","['20110620X14505', '20110815X44012', '20200725X21035']",3
15,"accident, stall contributing accident, stall contributing, accident pilots, stall, experience, contributing accident, aerodynamic stall contributing, contributing accident pilots, airspeed","airplane, pilot, runway, landing, engine, left, reported, flight, right, pilot reported","['20110524X80102', '20110528X21434', '20120904X22203',...]",25
16,"accident, stall contributing accident, stall contributing, accident pilots, stall, experience, contributing accident, aerodynamic stall contributing, contributing accident pilots, airspeed","analysis pending, pending, analysis",['20190622X23034'],1
