,Narrative,document number
0,-1.0,94-0001
1,71.0,94-0002
2,-1.0,94-0004
3,15.0,94-0005
4,4.0,95-0001
5,-1.0,95-0002
6,-1.0,95-0003
7,-1.0,95-0004
8,-1.0,95-0005
9,-1.0,95-0006
10,-1.0,95-0007
11,13.0,95-0008
12,-1.0,95-0009
13,20.0,95-0011
14,-1.0,95-0012
15,-1.0,95-0013
16,-1.0,95-0014
17,33.0,95-0015
18,7.0,95-0016
19,-1.0,95-0017
20,14.0,95-0018
21,45.0,95-0019
22,-1.0,95-0021
23,0.0,95-0022
24,7.0,95-0023
25,-1.0,95-0024
26,1.0,95-0025
27,-1.0,95-0026
28,-1.0,95-0027
29,-1.0,95-0028
30,60.0,95-0029
31,-1.0,95-0031
32,1.0,95-0032
33,-1.0,95-0033
34,60.0,95-0034
35,-1.0,95-0035
36,-1.0,95-0036
37,5.0,95-0037
38,7.0,95-0038
39,-1.0,95-0039
40,-1.0,95-0041
41,-1.0,95-0042
42,13.0,95-0043
43,95.0,95-0044
44,-1.0,95-0045
45,-1.0,95-0046
46,1.0,95-0047
47,-1.0,95-0048
48,6.0,95-0049
49,36.0,95-0051
50,-1.0,95-0052
51,-1.0,95-0053
52,41.0,95-0054
53,3.0,95-0055
54,88.0,95-0056
55,-1.0,95-0057
56,-1.0,95-0058
57,9.0,95-0059
58,1.0,95-0061
59,-1.0,95-0062
60,-1.0,95-0063
61,81.0,95-0064
62,20.0,95-0065
63,0.0,95-0066
64,0.0,95-0067
65,-1.0,95-0068
66,-1.0,95-0069
67,7.0,95-0071
68,-1.0,95-0072
69,-1.0,95-0073
70,26.0,95-0074
71,-1.0,95-0075
72,-1.0,95-0076
73,7.0,95-0077
74,0.0,95-0078
75,-1.0,95-0079
76,87.0,95-0081
77,-1.0,95-0082
78,-1.0,95-0083
79,36.0,95-0084
80,31.0,95-0085
81,3.0,95-0086
82,26.0,95-0087
83,6.0,95-0088
84,3.0,95-0089
85,-1.0,95-0091
86,0.0,95-0092
87,91.0,95-0093
88,-1.0,95-0094
89,-1.0,95-0095
90,-1.0,95-0096
91,-1.0,95-0097
92,14.0,95-0098
93,10.0,95-0099
94,7.0,95-0101
95,-1.0,95-0102
96,6.0,95-0103
97,1.0,95-0104
98,1.0,95-0105
99,-1.0,95-0106
100,-1.0,95-0107
101,-1.0,95-0108
102,86.0,95-0109
103,-1.0,95-0111
104,24.0,95-0112
105,-1.0,95-0113
106,0.0,95-0114
107,1.0,95-0115
108,1.0,95-0116
109,-1.0,95-0117
110,-1.0,95-0118
111,-1.0,95-0119
112,-1.0,95-0121
113,15.0,95-0122
114,9.0,95-0123
115,2.0,95-0124
116,72.0,95-0125
117,7.0,95-0126
118,75.0,95-0127
119,1.0,95-0128
120,0.0,95-0129
121,-1.0,95-0131
122,-1.0,95-0132
123,8.0,95-0133
124,-1.0,95-0134
125,26.0,95-0135
126,-1.0,95-0136
127,-1.0,95-0137
128,46.0,95-0138
129,-1.0,95-0139
130,37.0,95-0141
131,0.0,95-0142
132,2.0,95-0143
133,-1.0,95-0144
134,-1.0,95-0145
135,24.0,95-0146
136,14.0,95-0147
137,4.0,95-0148
138,-1.0,95-0149
139,7.0,95-0151
140,-1.0,95-0152
141,-1.0,95-0153
142,-1.0,95-0154
143,-1.0,95-0155
144,97.0,95-0156
145,5.0,95-0157
146,-1.0,95-0158
147,-1.0,95-0159
148,13.0,95-0161
149,13.0,95-0162
150,60.0,95-0163
151,-1.0,95-0164
152,15.0,95-0166
153,10.0,95-0167
154,39.0,95-0168
155,60.0,95-0169
156,-1.0,95-0171
157,11.0,95-0172
158,-1.0,95-0173
159,-1.0,95-0174
160,16.0,95-0175
161,1.0,95-0176
162,-1.0,95-0177
163,73.0,95-0178
164,10.0,95-0179
165,5.0,95-0181
166,63.0,95-0182
167,8.0,95-0183
168,0.0,95-0184
169,20.0,95-0185
170,-1.0,95-0186
171,3.0,95-0187
172,26.0,95-0188
173,-1.0,95-0189
174,3.0,95-0191
175,-1.0,95-0192
176,3.0,95-0193
177,-1.0,95-0194
178,94.0,95-0195
179,1.0,95-0196
180,20.0,95-0197
181,-1.0,95-0198
182,-1.0,95-0199
183,-1.0,95-0201
184,45.0,95-0202
185,8.0,95-0203
186,3.0,95-0204
187,14.0,95-0205
188,18.0,95-0206
189,7.0,95-0207
190,-1.0,95-0208
191,1.0,95-0209
192,0.0,95-0211
193,-1.0,95-0212
194,8.0,95-0213
195,-1.0,95-0214
196,-1.0,95-0215
197,88.0,95-0216
198,-1.0,95-0217
199,34.0,95-0218
200,-1.0,95-0219
201,33.0,95-0221
202,49.0,95-0222
203,95.0,95-0223
204,55.0,95-0224
205,-1.0,95-0225
206,-1.0,95-0227
207,55.0,95-0228
208,-1.0,95-0229
209,66.0,95-0231
210,66.0,95-0232
211,82.0,95-0233
212,34.0,95-0234
213,81.0,95-0235
214,-1.0,95-0236
215,86.0,95-0237
216,-1.0,95-0238
217,-1.0,95-0239
218,20.0,95-0241
219,36.0,95-0242
220,-1.0,95-0243
221,-1.0,95-0244
222,7.0,95-0245
223,50.0,95-0246
224,16.0,95-0247
225,-1.0,95-0248
226,73.0,95-0249
227,50.0,95-0251
228,-1.0,95-0252
229,6.0,95-0253
230,3.0,95-0254
231,3.0,95-0255
232,-1.0,95-0256
233,64.0,95-0257
234,71.0,95-0258
235,13.0,95-0259
236,6.0,95-0261
237,81.0,95-0262
238,0.0,95-0263
239,-1.0,95-0264
240,-1.0,95-0265
241,33.0,95-0266
242,20.0,95-0267
243,31.0,95-0268
244,7.0,95-0269
245,1.0,95-0271
246,-1.0,95-0272
247,-1.0,95-0273
248,-1.0,95-0274
249,3.0,95-0275
250,71.0,95-0276
251,13.0,95-0277
252,-1.0,95-0278
253,1.0,95-0279
254,87.0,95-0281
255,31.0,95-0282
256,24.0,95-0283
257,-1.0,95-0284
258,-1.0,95-0285
259,-1.0,95-0286
260,10.0,95-0287
261,47.0,96-0001
262,24.0,96-0002
263,1.0,96-0003
264,38.0,96-0004
265,-1.0,96-0005
266,-1.0,96-0006
267,61.0,96-0007
268,3.0,96-0008
269,-1.0,96-0009
270,0.0,96-0011
271,-1.0,96-0012
272,19.0,96-0013
273,-1.0,96-0014
274,-1.0,96-0015
275,-1.0,96-0016
276,-1.0,96-0017
277,-1.0,96-0018
278,38.0,96-0019
279,52.0,96-0021
280,-1.0,96-0022
281,34.0,96-0023
282,0.0,96-0024
283,0.0,96-0025
284,-1.0,96-0026
285,37.0,96-0027
286,-1.0,96-0028
287,-1.0,96-0029
288,0.0,96-0031
289,1.0,96-0032
290,52.0,96-0033
291,-1.0,96-0034
292,1.0,96-0035
293,12.0,96-0036
294,-1.0,96-0037
295,-1.0,96-0038
296,-1.0,96-0039
297,55.0,96-0041
298,73.0,96-0042
299,34.0,96-0043
300,-1.0,96-0044
301,0.0,96-0045
302,32.0,96-0046
303,34.0,96-0047
304,-1.0,96-0048
305,6.0,96-0049
306,-1.0,96-0051
307,30.0,96-0053
308,-1.0,96-0054
309,-1.0,96-0055
310,-1.0,96-0056
311,2.0,96-0057
312,-1.0,96-0058
313,-1.0,96-0059
314,-1.0,96-0061
315,-1.0,96-0062
316,-1.0,96-0063
317,20.0,96-0064
318,17.0,96-0065
319,-1.0,96-0066
320,1.0,96-0067
321,52.0,96-0068
322,-1.0,96-0069
323,94.0,96-0071
324,40.0,96-0072
325,40.0,96-0073
326,-1.0,96-0074
327,-1.0,96-0075
328,33.0,96-0076
329,0.0,96-0077
330,-1.0,96-0078
331,1.0,96-0079
332,13.0,96-0081
333,31.0,96-0082
334,0.0,96-0083
335,5.0,96-0084
336,-1.0,96-0085
337,-1.0,96-0086
338,27.0,96-0087
339,-1.0,96-0088
340,1.0,96-0089
341,-1.0,96-0091
342,15.0,96-0092
343,25.0,96-0093
344,3.0,96-0094
345,-1.0,96-0095
346,59.0,96-0096
347,-1.0,97-0001
348,50.0,97-0002
349,-1.0,97-0003
350,-1.0,97-0004
351,14.0,97-0005
352,4.0,97-0006
353,-1.0,97-0007
354,4.0,97-0008
355,0.0,97-0009
356,-1.0,97-0011
357,76.0,97-0012
358,-1.0,97-0013
359,80.0,97-0014
360,-1.0,97-0015
361,68.0,97-0016
362,-1.0,97-0017
363,-1.0,97-0018
364,13.0,97-0019
365,-1.0,97-0021
366,-1.0,97-0022
367,0.0,97-0023
368,7.0,97-0024
369,-1.0,97-0025
370,-1.0,97-0026
371,-1.0,97-0027
372,-1.0,97-0028
373,14.0,97-0029
374,-1.0,97-0031
375,14.0,97-0032
376,16.0,97-0033
377,-1.0,97-0034
378,12.0,97-0035
379,1.0,97-0036
380,85.0,97-0037
381,-1.0,97-0038
382,-1.0,97-0039
383,5.0,97-0041
384,-1.0,97-0042
385,-1.0,97-0043
386,12.0,97-0044
387,-1.0,97-0045
388,46.0,97-0046
389,3.0,97-0047
390,-1.0,97-0048
391,3.0,97-0049
392,2.0,97-0051
393,12.0,97-0052
394,-1.0,97-0053
395,29.0,97-0054
396,15.0,97-0055
397,-1.0,97-0056
398,75.0,97-0057
399,0.0,97-0058
400,-1.0,97-0059
401,1.0,97-0061
402,36.0,97-0062
403,0.0,97-0063
404,8.0,97-0064
405,-1.0,97-0065
406,8.0,97-0066
407,-1.0,97-0067
408,14.0,97-0068
409,-1.0,97-0069
410,61.0,97-0071
411,76.0,97-0072
412,-1.0,97-0073
413,-1.0,97-0074
414,-1.0,97-0075
